Corporation ID,Corp Name,Non-GCE Promote %,ELL %,Special Education %,FRPM_%,Pct American Indian,Pct Asian,Pct Black,Pct Hispanic,Pct Multiracial,Pct Pacific Islander,Pct White,Chronically Absent Percent,AVG_ATT_RATE,Total Enrollment,% Tested ELA,% Tested Math,Corp Per/Student,ELA Proficient %,Math Proficient %,Cluster,sub_cluster
5930,Mooresville Con School Corp,0.02117872913259,0.0200138026224982,0.1677018633540372,0.4849321371060501,0.0013802622498274,0.0043708304577869,0.0342765125373821,0.0446284794110881,0.0420979986197377,0.0009201748332183,0.8723257418909592,0.1026188604933809,0.9426980383402356,4347,0.4322521279043018,0.4324821716126064,9683.990000007225,0.43427354976,0.45265957446,F,5
5945,North Newton School Corp,0.0214931774590193,0.0326609029779058,0.2315081652257444,0.5148895292987512,0.0028818443804034,0.0019212295869356,0.0038424591738712,0.1287223823246878,0.0268972142170989,0.0028818443804034,0.8328530259365994,0.1609212994391818,0.9286312362830722,1041,0.4476464937560038,0.4486071085494716,10572.389999993811,0.39699570815,0.34689507494,D,5
5995,South Newton School Corp,0.0241035257078049,0.0724971231300345,0.1841196777905638,0.567318757192175,0.0,0.001150747986191,0.004602991944764,0.1990794016110471,0.0126582278481012,0.002301495972382,0.7802071346375143,0.160338019365835,0.9477099550143564,869,0.4361334867663982,0.4361334867663982,11978.110000001569,0.34036939313,0.39050131926,B,1
6055,Central Noble Com School Corp,0.039161358546387,0.0083102493074792,0.1652816251154201,0.358264081255771,0.002770083102493,0.0046168051708217,0.0036934441366574,0.025854108956602,0.0018467220683287,0.0,0.961218836565097,0.0870637029233349,0.9520958588086124,1083,0.4413665743305632,0.4404432132963989,12038.430000003986,0.31380753138,0.43815513626,D,8
6060,East Noble School Corporation,0.0834051130621468,0.0415060776756596,0.1844055736732879,0.3536910761932997,0.0008894159501927,0.0032611918173732,0.0083012155351319,0.0714497479988141,0.0254965905721909,0.0,0.8906018381262971,0.1114067078024296,0.9545905513620572,3373,0.438778535428402,0.4381855914616069,9882.600000013132,0.31283783783,0.34641407307,D,5
6065,West Noble School Corporation,0.0346788050720996,0.3012820512820512,0.1607142857142857,0.6254578754578755,0.0009157509157509,0.0045787545787545,0.0022893772893772,0.5494505494505495,0.0073260073260073,0.0,0.4354395604395604,0.1512992617616909,0.936941073770826,2184,0.4464285714285714,0.4464285714285714,9953.599999996077,0.26461538461,0.3682051282,G,3
6080,Rising Sun-Ohio Co Com,0.0090909090909092,0.0,0.2365339578454332,0.4449648711943794,0.0058548009367681,0.0035128805620608,0.0058548009367681,0.0117096018735363,0.0140515222482435,0.0,0.9590163934426228,0.0838885542366642,0.9431874478456128,854,0.4320843091334894,0.4320843091334894,11351.939999998289,0.36314363143,0.25203252032,D,8
6145,Orleans Community Schools,0.0439132757010454,0.0022573363431151,0.2054176072234763,0.5090293453724605,0.0,0.0022573363431151,0.0033860045146726,0.0191873589164785,0.0146726862302483,0.0,0.9604966139954854,0.0829266881066648,0.9573421234459972,886,0.4345372460496614,0.4345372460496614,9854.789999999242,0.31168831168,0.24155844155,D,3
6155,Paoli Community School Corp,0.022984701136109,0.0054474708171206,0.1859922178988327,0.5011673151750973,0.0023346303501945,0.0046692607003891,0.0093385214007782,0.0202334630350194,0.0186770428015564,0.0007782101167315,0.9439688715953308,0.1325026600466648,0.9469941424484029,1285,0.3968871595330739,0.3968871595330739,11320.3599999995,0.40980392156,0.37450980392,D,8
6160,Springs Valley Com School Corp,0.0274353071268017,0.0011299435028248,0.1717514124293785,0.4836158192090395,0.0045197740112994,0.0033898305084745,0.0259887005649717,0.0305084745762711,0.0666666666666666,0.0,0.8689265536723164,0.1278113935125023,0.9279530754461124,885,0.4101694915254237,0.4101694915254237,11741.740000000584,0.37465564738,0.37190082644,D,2
6195,Spencer-Owen Community Schools,0.0215189900731627,0.0090293453724604,0.1756207674943566,0.5679458239277653,0.001805869074492,0.0058690744920993,0.0022573363431151,0.0284424379232505,0.0320541760722347,0.0,0.929571106094808,0.1434169914066311,0.932881518121262,2215,0.4288939051918736,0.4288939051918736,11243.759999993175,0.38105263157,0.38421052631,D,1
6260,Southwest Parke Com Sch Corp,0.0284017394881907,0.003875968992248,0.191860465116279,0.5038759689922481,0.002906976744186,0.002906976744186,0.002906976744186,0.0339147286821705,0.0203488372093023,0.000968992248062,0.936046511627907,0.0923991990858327,0.9529704374534596,1032,0.4176356589147287,0.4186046511627907,10661.560000001668,0.36426914153,0.3912037037,D,8
6325,Perry Central Com Schools Corp,0.0121274631534554,0.00078125,0.22578125,0.39296875,0.0,0.00078125,0.00234375,0.00859375,0.0171875,0.0,0.97109375,0.0810161366941662,0.955908106183578,1280,0.39453125,0.39453125,9340.990000000347,0.50891089108,0.51485148514,F,3
6340,Cannelton City Schools,0.0748966942148763,0.0,0.2284263959390862,0.5989847715736041,0.0,0.0050761421319796,0.0253807106598984,0.0050761421319796,0.0761421319796954,0.0,0.8883248730964467,0.2851268296241672,0.8727658951069481,197,0.3857868020304568,0.3857868020304568,10001.970000000234,0.17105263157,0.23684210526,A,0
6350,Tell City-Troy Twp School Corp,0.0258567248213832,0.0117647058823529,0.2352941176470588,0.5308823529411765,0.0036764705882352,0.0125,0.0110294117647058,0.0169117647058823,0.0286764705882352,0.000735294117647,0.9264705882352942,0.1406400606624982,0.9337791860290814,1360,0.4338235294117647,0.4338235294117647,9457.429999999733,0.4813559322,0.40677966101,D,1
6375,North Central Parke Comm Schl Corp,0.0120934168567918,0.003338898163606,0.2220367278797996,0.6093489148580968,0.003338898163606,0.0008347245409015,0.008347245409015,0.0158597662771285,0.0375626043405676,0.0,0.9340567612687812,0.1307622022841732,0.9428582469397864,1198,0.4307178631051753,0.4298831385642738,11873.069999996162,0.38953488372,0.36699029126,D,8
