Corporation ID,Corp Name,Math Below Benchmark,Math Approaching Benchmark,Math At Benchmark,Math Total Tested,Math Benchmark %
4670,School City of East Chicago,184,47,8,239,0.03347280334
4680,Lake Station Community Schools,75,8,3,86,0.03488372093
4690,Gary Community School Corp,224,9,3,236,0.0127118644
4700,Griffith Public Schools,83,36,18,137,0.13138686131
4710,School City of Hammond,757,73,11,841,0.01307966706
4720,School Town of Highland,94,53,62,209,0.2966507177
4730,School City of Hobart,168,55,51,274,0.18613138686
4740,School Town of Munster,87,76,197,360,0.54722222222
4760,School City of Whiting,62,24,11,97,0.11340206185
4805,New Prairie United School Corp,102,82,52,236,0.22033898305
4860,MSD of New Durham Township,21,19,16,56,0.28571428571
4915,Tri-Township Cons School Corp,16,7,2,25,0.08
4925,Michigan City Area Schools,245,63,46,354,0.12994350282
4940,South Central Com School Corp,48,13,12,73,0.16438356164
4945,La Porte Community School Corp,224,99,80,403,0.19851116625
5075,North Lawrence Com Schools,155,78,74,307,0.24104234527
5085,Mitchell Community Schools,60,19,17,96,0.17708333333
5245,Frankton-Lapel Community Schools,99,70,50,219,0.22831050228
5255,South Madison Com Sch Corp,155,85,96,336,0.28571428571
5265,Alexandria Community School Corp,63,20,14,97,0.1443298969
5275,Anderson Community School Corp,302,39,29,370,0.07837837837
5280,Elwood Community School Corp,62,21,2,85,0.02352941176
5300,MSD Decatur Township,334,95,37,466,0.07939914163
5310,Franklin Township Com Sch Corp,388,203,202,793,0.25472887767
5330,MSD Lawrence Township,969,135,113,1217,0.09285127362
5340,Perry Township Schools,721,222,210,1153,0.18213356461
5350,MSD Pike Township,463,113,79,655,0.12061068702
5360,MSD Warren Township,666,115,70,851,0.08225616921
5370,MSD Washington Township,464,163,194,821,0.23629719853
5375,MSD Wayne Township,806,143,93,1042,0.08925143953
5380,Beech Grove City Schools,144,46,12,202,0.05940594059
5385,Indianapolis Public Schools,958,95,55,1108,0.04963898916
5390,Southside Sp Srvs Of Marion Co,3,0,0,3,0.0
5400,School Town of Speedway,37,30,53,120,0.44166666666
5455,Culver Community Schools Corp,38,15,4,57,0.07017543859
5470,Argos Community Schools,15,13,10,38,0.26315789473
5480,Bremen Public Schools,46,21,44,111,0.39639639639
5485,Plymouth Community School Corp,111,61,75,247,0.30364372469
5495,Triton School Corporation,25,24,21,70,0.3
5520,Shoals Community School Corp,32,6,3,41,0.0731707317
5525,Loogootee Community Sch Corp,40,16,18,74,0.24324324324
5615,Maconaquah School Corp,71,34,31,136,0.22794117647
5620,North Miami Community Schools,47,14,10,71,0.14084507042
5625,Oak Hill United School Corp,71,36,31,138,0.22463768115
5635,Peru Community Schools,75,27,23,125,0.184
5705,Richland-Bean Blossom C S C,71,48,60,179,0.33519553072
5740,Monroe County Community Sch Corp,269,173,372,814,0.457002457
5835,North Montgomery Com Sch Corp,59,27,41,127,0.32283464566
5845,South Montgomery Com Sch Corp,50,28,45,123,0.36585365853
5855,Crawfordsville Community Schools,92,38,32,162,0.19753086419
5900,Monroe-Gregg School District,81,32,18,131,0.13740458015
5910,Eminence Community School Corp,16,7,1,24,0.04166666666
5925,MSD Martinsville Schools,212,84,39,335,0.11641791044
5930,Mooresville Con School Corp,184,94,63,341,0.18475073313
5945,North Newton School Corp,53,20,12,85,0.14117647058
5995,South Newton School Corp,26,13,4,43,0.09302325581
6055,Central Noble Com School Corp,55,25,13,93,0.13978494623
6060,East Noble School Corporation,114,70,57,241,0.23651452282
6065,West Noble School Corporation,108,44,22,174,0.1264367816
6080,Rising Sun-Ohio Co Com,30,16,7,53,0.13207547169
6145,Orleans Community Schools,40,12,5,57,0.08771929824
6155,Paoli Community School Corp,57,24,8,89,0.08988764044
6160,Springs Valley Com School Corp,52,13,10,75,0.13333333333
6195,Spencer-Owen Community Schools,75,31,29,135,0.21481481481
6260,Southwest Parke Com Sch Corp,47,24,10,81,0.12345679012
6325,Perry Central Com Schools Corp,54,27,24,105,0.22857142857
6340,Cannelton City Schools,17,3,0,20,0.0
6350,Tell City-Troy Twp School Corp,53,28,25,106,0.2358490566
6375,North Central Parke Comm Schl Corp,53,19,14,86,0.16279069767
6445,Pike County School Corp,81,22,22,125,0.176
6460,MSD Boone Township,54,17,17,88,0.19318181818
6470,Duneland School Corporation,185,137,168,490,0.34285714285
6510,East Porter County School Corp,51,61,78,190,0.41052631578
6520,Porter Township School Corp,62,28,36,126,0.28571428571
6530,Union Township School Corp,28,26,37,91,0.40659340659
6550,Portage Township Schools,317,118,68,503,0.13518886679
6560,Valparaiso Community Schools,152,132,219,503,0.43538767395
6590,MSD Mount Vernon,55,30,36,121,0.29752066115
6600,MSD North Posey Co Schools,39,34,35,108,0.32407407407
6620,Eastern Pulaski Community Sch Corp,30,30,21,81,0.25925925925
6630,West Central School Corp,16,14,16,46,0.34782608695
6705,South Putnam Community Schools,48,25,18,91,0.1978021978
6715,North Putnam Community Schools,50,26,24,100,0.24
6750,Cloverdale Community Schools,42,11,9,62,0.14516129032
6755,Greencastle Community School Corp,61,21,22,104,0.21153846153
6795,Union School Corporation,937,84,29,1050,0.02761904761
6805,Randolph Southern School Corp,20,9,5,34,0.14705882352
6820,Monroe Central School Corp,47,17,10,74,0.13513513513
6825,Randolph Central School Corp,66,33,14,113,0.1238938053
6835,Randolph Eastern School Corp,56,16,9,81,0.11111111111
6865,South Ripley Com Sch Corp,56,23,10,89,0.11235955056
6895,Batesville Community School Corp,50,48,59,157,0.37579617834
6900,Jac-Cen-Del Community Sch Corp,56,18,9,83,0.10843373493
6910,Milan Community Schools,47,18,16,81,0.19753086419
6995,Rush County Schools,81,43,44,168,0.2619047619
7150,John Glenn School Corporation,77,33,57,167,0.34131736526
7175,Penn-Harris-Madison School Corp,284,190,319,793,0.40226986128
7200,School City of Mishawaka,202,52,55,309,0.1779935275
7205,South Bend Community School Corp,740,158,105,1003,0.10468594217
7215,Union-North United School Corp,54,28,13,95,0.13684210526
7230,Scott County School District 1,78,14,11,103,0.1067961165
7255,Scott County School District 2,93,30,39,162,0.24074074074
7285,Shelby Eastern Schools,39,27,18,84,0.21428571428
7350,Northwestern Con School Corp,54,30,26,110,0.23636363636
7360,Southwestern Con Sch Shelby Co,34,6,6,46,0.1304347826
7365,Shelbyville Central Schools,119,67,69,255,0.27058823529
7385,North Spencer County Sch Corp,51,51,79,181,0.43646408839
7445,South Spencer County Sch Corp,23,31,21,75,0.28
7495,Oregon-Davis School Corp,17,7,4,28,0.14285714285
7515,North Judson-San Pierre Sch Corp,42,19,9,70,0.12857142857
7525,Knox Community School Corp,78,17,26,121,0.21487603305
7605,Fremont Community Schools,21,19,28,68,0.41176470588
7610,Hamilton Community Schools,14,5,4,23,0.17391304347
7615,MSD Steuben County,94,38,43,175,0.24571428571
7645,Northeast School Corp,51,9,2,62,0.03225806451
7715,Southwest School Corporation,64,31,20,115,0.17391304347
7775,Switzerland County School Corp,78,25,11,114,0.09649122807
7855,Lafayette School Corporation,281,107,86,474,0.18143459915
7865,Tippecanoe School Corp,403,208,297,908,0.32709251101
7875,West Lafayette Com School Corp,32,22,135,189,0.71428571428
7935,Tri-Central Community Schools,28,19,12,59,0.2033898305
7945,Tipton Community School Corp,45,29,27,101,0.26732673267
7950,Union Co/Clg Corner Joint Sch Dist,56,14,14,84,0.16666666666
7995,Evansville Vanderburgh School Corp,844,321,351,1516,0.231530343
8010,North Vermillion Com Sch Corp,34,5,0,39,0.0
8020,South Vermillion Com Sch Corp,63,25,19,107,0.17757009345
8030,Vigo County School Corp,520,163,147,830,0.17710843373
8045,Manchester Community Schools,52,30,37,119,0.31092436974
8050,MSD Wabash County Schools,173,57,35,265,0.13207547169
8060,Wabash City Schools,73,34,15,122,0.12295081967
8115,MSD Warren County,52,18,9,79,0.11392405063
