Corporation ID,Corp Name,ELL N,ELL %,Special Education N,Special Education %,Total Enrollment
3135,Mt Vernon Community School Corp,174,0.03626511046269279,833,0.1736140058357649,4798
3145,Eastern Hancock Co Com Sch Corp,11,0.009075907590759076,213,0.17574257425742573,1212
3160,Lanesville Community School Corp,1,0.0013908205841446453,78,0.10848400556328233,719
3180,North Harrison Com School Corp,7,0.0033317467872441696,388,0.1846739647786768,2101
3190,South Harrison Com Schools,53,0.017224569385765356,588,0.1910952226194345,3077
3295,North West Hendricks Schools,33,0.016845329249617153,320,0.1633486472690148,1959
3305,Brownsburg Community School Corp,713,0.06825579169059927,1428,0.1367030442274555,10446
3315,Avon Community School Corp,1471,0.1370156482861401,1730,0.16114008941877794,10736
3325,Danville Community School Corp,83,0.03128533735393894,463,0.17451941198643045,2653
3330,Plainfield Community School Corp,362,0.06205005142269455,1076,0.18443606444977717,5834
3335,Mill Creek Community Sch Corp,28,0.017632241813602016,241,0.1517632241813602,1588
3405,Blue River Valley Schools,5,0.008143322475570033,120,0.19543973941368079,614
3415,South Henry School Corp,6,0.0076045627376425855,115,0.14575411913814956,789
3435,Shenandoah School Corporation,4,0.003048780487804878,156,0.11890243902439024,1312
3445,New Castle Community School Corp,33,0.011190233977619531,686,0.23262122753475756,2949
3455,C A Beard Memorial School Corp,15,0.01413760603204524,211,0.1988689915174364,1061
3460,Taylor Community School Corp,29,0.024026512013256007,198,0.164043082021541,1207
3470,Northwestern School Corp,4,0.0022197558268590455,292,0.16204217536071033,1802
3480,Eastern Howard School Corporation,9,0.005593536357986327,260,0.16159105034182722,1609
3490,Western School Corporation,42,0.0168,393,0.1572,2500
3500,Kokomo School Corporation,108,0.020025959577229743,872,0.16169108103096608,5393
3625,Huntington Co Com Sch Corp,91,0.018860103626943004,990,0.20518134715025907,4825
3640,Medora Community School Corp,2,0.01020408163265306,35,0.17857142857142858,196
3675,Seymour Community Schools,1888,0.34496619769778913,911,0.1664534989950667,5473
3695,Brownstown Cnt Com Sch Corp,11,0.007735583684950774,260,0.1828410689170183,1422
3710,Crothersville Community Schools,4,0.008639308855291577,72,0.15550755939524838,463
3785,Kankakee Valley School Corp,139,0.044169049888782966,565,0.17953606609469336,3147
